id	our_name	google_name	our_address	google_address	place_id	google_maps_uri	similarity	google_status	our_status
6ecfb232-50b8-45f7-b511-bc5e2fb1f79b	頑童主義咖啡Stand-Up Shop	DasKind頑童主義咖啡	70245台南市南區西門路一段269號	70245台灣臺南市南區西門路一段269號	ChIJr-le8fF3bjQRf3tVzgt8mms	https://maps.google.com/?cid=7753646098619923327&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.40	OPERATIONAL	operational
ac8dd099-352a-44e5-bb61-f4f6f15cf318	黑羊咖啡	魚羊鮮豆 東豐店	台南市永福路一段五號	704台灣臺南市北區仁愛里東豐路275號	ChIJ7WuMWel2bjQRSjPvtJxUW84	https://maps.google.com/?cid=14869571626721030986&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.18	OPERATIONAL	operational
901d5af8-c00d-4fd6-a21d-0579db91f574	 1982 de glacée 法式冰淇淋	昕樸永續股份有限公司	700台灣台南市中西區永福路一段68巷9號	700台灣臺南市中西區南門里永福路一段68巷9號2樓	ChIJQ_wwEPJ3bjQR0y75aAp7uIw	https://maps.google.com/?cid=10139989845665722067&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.00	OPERATIONAL	operational
6f434f50-5df8-4186-99e8-da2de2724408	貓門Cafe Moment	貓門珈琲	台南市北區南園街87號1樓	700台灣臺南市中西區兌悅里信義街46巷17號	ChIJUUmjCGd2bjQRdMKGKrBic_k	https://maps.google.com/?cid=17974819046533022324&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.25	OPERATIONAL	operational
02a22fe1-6bbf-4b96-8883-7130cfdf6ab7	大風堂	一風堂 台南南紡店	台南市東和路159巷29號	701台灣臺南市東區中華東路一段358號南紡購物中心A2館1樓	ChIJT0a05jx3bjQRLMD5YhVoZN0	https://maps.google.com/?cid=15952990221117276204&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.36	OPERATIONAL	operational
ef20efac-5e54-49c8-97c9-d7a72c795423	路易莎咖啡永康分店	Louisa Coffee 路易莎咖啡(台南永康門市)	台南市永康區中華二路365號	710台灣臺南市永康區六合里中華二路365號	ChIJ6QpO79x2bjQR4WYEjdR5gk4	https://maps.google.com/?cid=5657218035736667873&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.44	OPERATIONAL	operational
c79baff4-1a92-43bc-9233-61656cf9f2d7	街頭咖啡Street Cafe 民生店 	街貓咖啡店-（不是貓咖） 台南 中西 老屋咖啡廳推建 老宅咖啡首選 網友打卡咖啡店 讀書 甜點好評 平價 專業手沖咖啡 巷弄咖啡 優質 高CP值 提拉米蘇 巴斯克 布朗尼 古董居家氛圍 下午茶 精選咖啡豆 聚會	台南市中西區新美街7號	700台灣臺南市中西區淺草里正德街29巷1號	ChIJnR74XwB3bjQR8WJt5s2SSpM	https://maps.google.com/?cid=10613456884883874545&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.08	OPERATIONAL	operational
ad3392c4-4b8c-477c-b7e9-5474f343f36e	Bobosa Coffee	Bobosa Coffee	台南市北區小東路321號	704台灣臺南市北區東興里小東路321號	ChIJiZ8_psF2bjQREyws05mDpho	https://maps.google.com/?cid=1920366987816217619&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	1.00	CLOSED_PERMANENTLY	permanently_closed
c8e716d0-a753-42c8-9ca9-eeba567b3079	歐塔克ottag caf'e手作烘焙咖啡館	歐塔克手作咖啡烘焙館	台南市安平區華平路726號	708台灣臺南市安平區平安里華平路726號	ChIJx_VshxF2bjQRdemuWSoNsO0	https://maps.google.com/?cid=17127203858434419061&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.55	OPERATIONAL	operational
0105c5f1-6a0a-4541-bf88-2c714f27354f	鉄工咖啡館/千層蛋糕	鉄工咖啡館（千層專賣店）營業資訊請洽IG 臉書）	701台南市東區裕豐街105號	900台灣屏東縣屏東市維新里和平路320號	ChIJXUoMwG53bjQR8YC-4491sYE	https://maps.google.com/?cid=9345379962632175857&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.48	OPERATIONAL	operational
